Instruction(offset=5, opcode=9, op_name='PUSH_G', operands=[36], size=3, comment='')
Instruction(offset=25, opcode=9, op_name='PUSH_G', operands=[34], size=3, comment='')
Instruction(offset=34, opcode=1, op_name='PUSH_NIL', operands=[], size=1, comment='')
Instruction(offset=38, opcode=1, op_name='PUSH_NIL', operands=[], size=1, comment='')
Instruction(offset=42, opcode=1, op_name='PUSH_NIL', operands=[], size=1, comment='')
Instruction(offset=46, opcode=1, op_name='PUSH_NIL', operands=[], size=1, comment='')
Instruction(offset=59, opcode=9, op_name='PUSH_G', operands=[37], size=3, comment='')
Instruction(offset=83, opcode=3, op_name='PUSH_VALUE', operands=[33], size=3, comment='')
Instruction(offset=91, opcode=3, op_name='PUSH_VALUE', operands=[33], size=3, comment='')
Instruction(offset=104, opcode=50, op_name='PUSH_INT8', operands=[3], size=2, comment='')
Instruction(offset=116, opcode=3, op_name='PUSH_VALUE', operands=[33], size=3, comment='')
Instruction(offset=129, opcode=3, op_name='PUSH_VALUE', operands=[32], size=3, comment='')
Instruction(offset=145, opcode=3, op_name='PUSH_VALUE', operands=[33], size=3, comment='')
Instruction(offset=158, opcode=3, op_name='PUSH_VALUE', operands=[33], size=3, comment='')
Instruction(offset=174, opcode=1, op_name='PUSH_NIL', operands=[], size=1, comment='')
Instruction(offset=183, opcode=9, op_name='PUSH_G', operands=[21], size=3, comment='')
Instruction(offset=192, opcode=9, op_name='PUSH_G', operands=[20], size=3, comment='')
Instruction(offset=201, opcode=3, op_name='PUSH_VALUE', operands=[32], size=3, comment='')
Instruction(offset=212, opcode=9, op_name='PUSH_G', operands=[33], size=3, comment='')
Instruction(offset=215, opcode=1, op_name='PUSH_NIL', operands=[], size=1, comment='')
Instruction(offset=241, opcode=9, op_name='PUSH_G', operands=[18], size=3, comment='')
Instruction(offset=244, opcode=3, op_name='PUSH_VALUE', operands=[33], size=3, comment='')
Instruction(offset=266, opcode=9, op_name='PUSH_G', operands=[16], size=3, comment='')
Instruction(offset=275, opcode=9, op_name='PUSH_G', operands=[15], size=3, comment='')
Instruction(offset=290, opcode=9, op_name='PUSH_G', operands=[13], size=3, comment='')
Instruction(offset=307, opcode=50, op_name='PUSH_INT8', operands=[0], size=2, comment='')
Instruction(offset=319, opcode=50, op_name='PUSH_INT8', operands=[0], size=2, comment='')
Instruction(offset=324, opcode=3, op_name='PUSH_VALUE', operands=[32], size=3, comment='')
Instruction(offset=330, opcode=9, op_name='PUSH_G', operands=[33], size=3, comment='')
Instruction(offset=333, opcode=1, op_name='PUSH_NIL', operands=[], size=1, comment='')
Instruction(offset=359, opcode=3, op_name='PUSH_VALUE', operands=[33], size=3, comment='')
Instruction(offset=362, opcode=3, op_name='PUSH_VALUE', operands=[31], size=3, comment='')
Instruction(offset=380, opcode=3, op_name='PUSH_VALUE', operands=[33], size=3, comment='')
Instruction(offset=389, opcode=9, op_name='PUSH_G', operands=[7], size=3, comment='')
Instruction(offset=392, opcode=3, op_name='PUSH_VALUE', operands=[33], size=3, comment='')
Instruction(offset=395, opcode=9, op_name='PUSH_G', operands=[6], size=3, comment='')
Instruction(offset=409, opcode=3, op_name='PUSH_VALUE', operands=[30], size=3, comment='')
Instruction(offset=433, opcode=3, op_name='PUSH_VALUE', operands=[30], size=3, comment='')
Instruction(offset=436, opcode=50, op_name='PUSH_INT8', operands=[0], size=2, comment='')
Instruction(offset=448, opcode=9, op_name='PUSH_G', operands=[4], size=3, comment='')
Instruction(offset=451, opcode=3, op_name='PUSH_VALUE', operands=[30], size=3, comment='')
Instruction(offset=459, opcode=9, op_name='PUSH_G', operands=[2], size=3, comment='')
Instruction(offset=478, opcode=9, op_name='PUSH_G', operands=[1], size=3, comment='')
Instruction(offset=492, opcode=1, op_name='PUSH_NIL', operands=[], size=1, comment='')
Instruction(offset=496, opcode=1, op_name='PUSH_NIL', operands=[], size=1, comment='')
Instruction(offset=500, opcode=1, op_name='PUSH_NIL', operands=[], size=1, comment='')
Instruction(offset=504, opcode=1, op_name='PUSH_NIL', operands=[], size=1, comment='')
